date,time,route
04/08,00:08:45,Full soap box derby route
02/08,00:09:34,Full soap box derby route
03/08,00:10:40,Full soap box derby route
01/08,00:10:55,Full soap box derby route
04/08,00:10:56,Full soap box derby route
03/08,00:10:59,Full soap box derby route
03/08,00:11:05,Full soap box derby route
01/08,00:11:23,Full soap box derby route
01/08,00:11:27,Full soap box derby route
01/08,00:11:27,Full soap box derby route
01/08,00:11:36,Full soap box derby route
05/08,00:11:53,Full soap box derby route
05/08,00:12:02,Full soap box derby route
01/08,00:12:49,Full soap box derby route
05/08,00:13:26,Full soap box derby route
